df_merged_index,C4orf3,ANXA13,primary_or_metastasis
0,0.134276881496269,-0.078526037658671,Primary
1,0.18323069838794,-0.115307797494386,Primary
2,0.113388732168364,-0.18895085925878,Primary
3,0.047492995199016,-0.126668990798364,Primary
4,0.029569868302905,0.068956928409864,Primary
5,-0.149588638118341,-0.416838860388499,Metastasis
6,0.095239047077688,0.033141599183597,
7,-0.117279789046317,-0.22123178852594,Primary
8,0.098536532185203,-0.095816215128099,Metastasis
9,0.068056225545024,-0.155890611724072,Metastasis
10,0.111205175132334,-0.079495685621454,Primary
11,0.128584692363542,-0.023660053721855,
12,0.102282111696191,-0.106990836789424,Metastasis
13,-0.041703293250295,-0.231772058056701,Metastasis
14,0.119309823592102,-0.055188430561197,Primary
15,0.091516815357757,-0.026414666018924,
16,-0.021337702189464,-0.063263342675767,Primary
17,0.137979499136166,0.029845799916208,Metastasis
18,0.012859098509414,-0.093533440802955,Primary
19,0.0428702894125,-0.056993019437965,Metastasis
20,0.127219035272033,-0.175243724318369,Metastasis
21,0.119242774475359,-0.351205941761972,
22,0.068103563761844,0.147713991763784,Primary
23,-0.003619102898421,0.11262284751335,Primary
24,0.069123487094446,-0.057788697888003,Metastasis
25,0.083331282395419,-0.286017231819187,
26,0.130866099104873,-0.071254398639874,Primary
27,0.036036136492689,-0.039007070230419,Primary
28,0.066762762878678,0.07220809852756,
29,0.055527274078289,-0.108442720765304,
30,-0.011960022360202,-0.079492687132101,Primary
31,0.136289528715867,-0.444148792670166,Metastasis
32,0.03112210273599,0.174658305428383,Metastasis
33,0.251792138726934,-0.120718076365942,Metastasis
34,0.083426898465651,-0.137376494018346,Metastasis
35,0.085859938527072,0.013306883563441,Primary
36,0.051253960533864,0.025898757755118,Metastasis
37,0.110923673791694,-0.118838587019956,Primary
38,0.112860641774942,-0.100497041144827,Primary
39,0.088696500530983,0.029253829661868,Metastasis
40,0.026837442227345,-0.196103550748015,Primary
41,-0.003844457913652,-0.046565712920194,Metastasis
42,0.116744222952569,0.101318994486675,Primary
43,-0.02043333842895,0.013079033200951,Primary
44,0.045066905306121,-0.173694870894704,Primary
45,0.01303303603333,0.081095828269851,
46,0.048305961430787,-0.07433461962588,Primary
47,0.196868519570969,-0.11434069512271,kidney
48,0.017429006352991,0.045669401839243,Primary
49,0.059765335107192,-0.185960681611412,Metastasis
50,0.106948792527902,-0.042837755553948,Primary
51,-0.018301824206858,0.049560334086438,Primary
52,0.058476978384001,-0.141979846238693,Primary
53,-0.061456804625662,-0.11714371141541,
54,-0.027759104637955,-0.013604260869985,Metastasis
55,0.08458012387189,-0.040622398556612,
56,-0.025521900895871,0.003449151143237,
57,-0.017944361766108,0.050609299424349,
58,-0.071558114287999,-0.034793356537618,Metastasis
59,0.0121340651855,0.053319141071737,Primary
60,0.059928944555277,-0.113895584540864,Metastasis
61,0.010488135341631,-0.154862127487389,Metastasis
62,0.004656736502866,-0.122695411774177,Primary
63,-0.011374107679188,-0.050545089076565,Primary
64,-0.086177249474881,0.031044693359929,Primary
65,0.215514429506896,0.081048785326604,Metastasis
66,0.020570431988286,0.0053300025002,
67,0.032980141862997,-0.086089684688531,Primary
68,0.010192056757393,0.042904063120283,Metastasis
69,0.143939652152591,0.001954964252916,Metastasis
70,-0.111377608410393,-0.138972131163335,Metastasis
71,0.00443167817808,0.092601234057364,Metastasis
72,0.136357455949383,-0.040234840267666,Primary
73,0.084192180424459,-0.051398009613627,
74,0.046574011750621,-0.030473118151177,Metastasis
75,0.16988596008207,0.03061914014818,
76,-0.029381144721587,0.027356741368802,
77,0.009997325251369,-0.043877428675959,Primary
78,0.074639853674973,-0.079330592041701,central_nervous_system
79,0.064146453323508,-0.072968832804079,Metastasis
80,0.149154000572727,0.028568871843417,Metastasis
81,0.015660299541628,0.056365426985633,Primary
82,0.174615672429382,0.029172101158614,Primary
83,0.015895697680239,-0.090428066066444,Primary
84,0.145949973623929,-0.055770156802132,Primary
85,0.018396296793152,0.096442475993967,Primary
86,0.034303679479659,0.050532748433483,Primary
87,0.149689117881413,0.130764222565518,Primary
88,-0.073001790227865,-0.154428430290676,
89,0.056186895192767,-0.08823060680755,
90,0.043193443772247,-0.116381033079546,
91,0.098501480238827,-0.025520727603065,Primary
92,0.083180790809832,0.132166256747348,
93,0.10091436610956,0.080573275197016,
94,0.007965153856544,-0.039970012667795,
95,0.057991974536457,-0.016777139771252,Primary
96,0.023372768236948,0.061612607953999,Primary
97,0.039247052480687,-0.013534057488045,Primary
98,0.075331309537312,0.032783983695076,Metastasis
99,0.072966957697547,-0.206947431067112,Primary
100,-0.13558129110056,0.10226585615177,
101,0.112579763367988,-0.118415747216313,Primary
102,0.07753411513959,0.154128223050585,
103,0.108785034811337,-0.096737824744593,Primary
104,-0.087044186212577,-0.098638922710848,lung
105,0.102740399658744,0.030439668357506,
106,0.028106787336604,0.179001279433125,Metastasis
107,0.067505850349582,-0.215959675767012,Metastasis
108,0.034996685516378,-0.120166898037698,Primary
109,0.089673843975758,0.008425435492878,central_nervous_system
110,0.064092225813342,-0.092144434790387,Metastasis
111,0.079151689087453,-0.045855899347081,Primary
112,0.083189774884824,-0.148886388854965,Metastasis
113,0.12188177786715,-0.078850713038902,Primary
114,0.098740805271418,-0.104764259277472,Primary
115,0.088239177720231,-0.059076410552484,lung
116,0.049612312155149,0.027060058584135,
117,0.094661855697663,-0.223853785805771,
118,0.184446282096646,-0.102497066003121,Primary
119,0.091140831050712,-0.101566339778275,
120,0.047545679528632,0.095536950879305,
